ID,Temperature (C),Date,ACN_mass_percentage,DME_mass_percentage,EMC_mass_percentage,NaFSI_Solubility (g/100mL)
26e5d25b12927cb1f53c8e72a9e3fad60171f62401c91977490f70a47e0375fc,25.4,2025/10/8 20:13,0,100,0,128.7166667
681534bd9f23efaee3f4c462d4ddf69686af083cfa9a34b3b6e65720a6c13af2,25.5,2025/10/10 23:46,0,100,0,141.4856286
cdf2ddb88dcf4abb1001da684bb8743d94b2cfeee78adf134dd9a31794328ffe,25.5,2025/10/11 0:24,0,100,0,168.5604754
8681a0604964f485cef8079eae429435f4a915d3034e3aa8d070c79a52608d27,25.5,2025/7/9 17:36,100,0,0,228.1636364
df1b3b5c41a508775489eec69f77b20b2f0550f389d86f97ff9d16a58d344c15,25.5,2025/7/9 17:51,100,0,0,204.0454545
bcd5a8b68b3e34f2e24749557a7f3f64b3c78c95d2cd1f819dc1064f897f8557,25.4,2025/7/9 17:19,100,0,0,180.1636364
ec9421b1f80253c3813472df2652b5f4a1670936181e99c098bd095fcbf3c8a2,25.5,2025/10/11 0:42,0,0,100,24.90433071
79d4e37aed05ae89b743bf2cddce5d87bb968f713520cc5d9c8ee35b0b473d93,25.5,2025/10/11 1:11,0,0,100,24.05217343
32b094da78d798246caceb362903a3471ccd7adcebe549826444c0ea53c5f877,25.4,2025/10/11 1:27,0,50,50,120.8912656
434895d2a402683f9d22b264977f36dc427b5bf2ca06704bb5df875c312e5ae8,25.4,2025/10/11 1:52,0,50,50,99.06769577
45f1a9f7ee9b1affb1dfc0f3f64b6863609b19a41171be12ea5346bcaca6f07a,25.6,2025/10/11 2:01,0,50,50,138.3304327
2a2677c00120552750f0ff61042c374a16bf1da6a4550b3f6fdcd131ae6897a0,25.4,2025/7/14 19:28,50,50,0,167.0363636
6626bc416f16dbe59f9fd10015e03bbd1be9a0a90e7a5655414e4c9e940c817e,25.4,2025/7/14 18:58,50,50,0,139.3411765
818e65cfc44dcbf7d751ece08bdf18865b9afd5f629ba400b3ee73e0949d91d9,24.9,2025/7/15 15:48,50,50,0,198.3